[2025-10-30T09:24:06.026411+00:00] LOW email_access user=anonymous resource=api:/test action='GET /test' result=success details={'method': 'GET', 'endpoint': '/test', 'status_code': 200, 'response_time_seconds': 0.00048160552978515625}
[2025-10-30T09:24:24.825775+00:00] LOW email_access user=anonymous resource=api:/test action='GET /test' result=success details={'method': 'GET', 'endpoint': '/test', 'status_code': 200, 'response_time_seconds': 0.0005443096160888672}
[2025-10-30T09:24:24.872445+00:00] LOW email_access user=anonymous resource=api:/api/test action='GET /api/test' result=success details={'method': 'GET', 'endpoint': '/api/test', 'status_code': 200, 'response_time_seconds': 0.0003666877746582031}
[2025-10-30T09:24:25.046305+00:00] LOW email_access user=anonymous resource=api:/test action='GET /test' result=success details={'method': 'GET', 'endpoint': '/test', 'status_code': 200, 'response_time_seconds': 0.00022339820861816406}
[2025-10-30T09:24:25.053281+00:00] LOW email_access user=anonymous resource=api:/test action='GET /test' result=success details={'method': 'GET', 'endpoint': '/test', 'status_code': 200, 'response_time_seconds': -1.0}
[2025-10-30T09:24:25.059052+00:00] LOW email_access user=perf_test resource=api:/api/test0 action='GET /api/test0' result=success details={'method': 'GET', 'endpoint': '/api/test0', 'status_code': 200, 'response_time_seconds': 0.1}
[2025-10-30T09:24:25.059205+00:00] LOW email_access user=perf_test resource=api:/api/test1 action='GET /api/test1' result=success details={'method': 'GET', 'endpoint': '/api/test1', 'status_code': 200, 'response_time_seconds': 0.1}
[2025-10-30T09:24:25.059330+00:00] LOW email_access user=perf_test resource=api:/api/test2 action='GET /api/test2' result=success details={'method': 'GET', 'endpoint': '/api/test2', 'status_code': 200, 'response_time_seconds': 0.1}
[2025-10-30T09:24:25.059425+00:00] LOW email_access user=perf_test resource=api:/api/test3 action='GET /api/test3' result=success details={'method': 'GET', 'endpoint': '/api/test3', 'status_code': 200, 'response_time_seconds': 0.1}
[2025-10-30T09:24:25.059518+00:00] LOW email_access user=perf_test resource=api:/api/test4 action='GET /api/test4' result=success details={'method': 'GET', 'endpoint': '/api/test4', 'status_code': 200, 'response_time_seconds': 0.1}
[2025-10-30T09:24:25.059559+00:00] LOW email_access user=perf_test resource=api:/api/test5 action='GET /api/test5' result=success details={'method': 'GET', 'endpoint': '/api/test5', 'status_code': 200, 'response_time_seconds': 0.1}
[2025-10-30T09:24:25.059640+00:00] LOW email_access user=perf_test resource=api:/api/test6 action='GET /api/test6' result=success details={'method': 'GET', 'endpoint': '/api/test6', 'status_code': 200, 'response_time_seconds': 0.1}
[2025-10-30T09:24:25.060077+00:00] LOW email_access user=perf_test resource=api:/api/test7 action='GET /api/test7' result=success details={'method': 'GET', 'endpoint': '/api/test7', 'status_code': 200, 'response_time_seconds': 0.1}
[2025-10-30T09:24:25.060176+00:00] LOW email_access user=perf_test resource=api:/api/test8 action='GET /api/test8' result=success details={'method': 'GET', 'endpoint': '/api/test8', 'status_code': 200, 'response_time_seconds': 0.1}
[2025-10-30T09:24:25.060209+00:00] LOW email_access user=perf_test resource=api:/api/test9 action='GET /api/test9' result=success details={'method': 'GET', 'endpoint': '/api/test9', 'status_code': 200, 'response_time_seconds': 0.1}
[2025-10-30T09:24:25.079792+00:00] MEDIUM email_access user=anonymous resource=api:/nonexistent action='GET /nonexistent' result=failure details={'method': 'GET', 'endpoint': '/nonexistent', 'status_code': 404, 'response_time_seconds': 0.000171661376953125}
[2025-10-30T09:24:25.090698+00:00] MEDIUM email_access user=anonymous resource=api:/api/test action='OPTIONS /api/test' result=failure details={'method': 'OPTIONS', 'endpoint': '/api/test', 'status_code': 405, 'response_time_seconds': 0.0002777576446533203}
[2025-10-30T09:24:25.102271+00:00] LOW email_access user=anonymous resource=api:/test action='GET /test' result=success details={'method': 'GET', 'endpoint': '/test', 'status_code': 200, 'response_time_seconds': 0.0007154941558837891}
[2025-10-30T09:25:18.462411+00:00] LOW email_access user=anonymous resource=api:/api/test action='GET /api/test' result=success details={'method': 'GET', 'endpoint': '/api/test', 'status_code': 200, 'response_time_seconds': 0.0004534721374511719}
